领域,类型,等级,序号,简称,全称,出版社/组织,网址,PDF页码
计算机科学理论,会议,B,8,SAT,International Conference on Theory and Applications of Satisfiability Testing,Springer,https://dblp.org/db/conf/sat/,42
计算机科学理论,会议,B,9,COCOON,International Computing and Combinatorics Conference,Springer,https://dblp.org/db/conf/cocoon/index.html,42
计算机科学理论,会议,B,10,FMCAD,Formal Methods in Computer-Aided Design,ACM,https://dblp.org/db/conf/fmcad/,42
计算机科学理论,会议,C,1,CSL,Computer Science Logic,Springer,https://dblp.org/db/conf/csl/,43
计算机科学理论,会议,C,2,FSTTCS,Foundations of Software Technology and Theoretical Computer Science,Indian Association for Research in Computing Science,https://dblp.org/db/conf/fsttcs/,43
计算机科学理论,会议,C,3,DSAA,IEEE International Conference on Data Science and Advanced Analytics,IEEE,https://dblp.org/db/conf/dsaa/,43
计算机科学理论,会议,C,4,ICTAC,International Colloquium on Theoretical Aspects of Computing,Springer,https://dblp.org/db/conf/ictac/,43
计算机科学理论,会议,C,5,IPCO,International Conference on Integer Programming and Combinatorial Optimization,Springer,https://dblp.org/db/conf/ipco/,43
计算机科学理论,会议,C,6,FSCD（原 RTA）,International Conference on Formal Structures for Computation and Deduction,Dagstuhl Leibniz LIPIcs,https://dblp.org/db/conf/rta/,43
计算机科学理论,会议,C,7,ISAAC,International Symposium on Algorithms and Computation,Springer,https://dblp.org/db/conf/isaac/,43
计算机科学理论,会议,C,8,MFCS,International Conference on Mathematical Foundations of Computer Science,Springer,https://dblp.org/db/conf/mfcs/,43
计算机科学理论,会议,C,9,STACS,Symposium on Theoretical Aspects of Computer Science,Springer,https://dblp.org/db/conf/stacs/,43
计算机科学理论,会议,C,10,SETTA,"International Symposium on Software Engineering: Theories, Tools, and Applications",Springer,https://dblp.org/db/conf/setta/index.html,43
计算机图形学与多媒体,期刊,A,1,TOG,ACM Transactions on Graphics,ACM,https://dblp.org/db/journals/tog/,44
计算机图形学与多媒体,期刊,A,2,TIP,IEEE Transactions on Image Processing,IEEE,https://dblp.org/db/journals/tip/,44
计算机图形学与多媒体,期刊,A,3,TVCG,IEEE Transactions on Visualization and Computer Graphics,IEEE,https://dblp.org/db/journals/tvcg/,44
计算机图形学与多媒体,期刊,A,4,TMM,IEEE Transactions on Multimedia,IEEE,https://dblp.org/db/journals/tmm/,44
计算机图形学与多媒体,期刊,B,1,TOMM,"ACM Transactions on Multimedia Computing, Communications and Applications",ACM,https://dblp.org/db/journals/tomccap/,45
计算机图形学与多媒体,期刊,B,2,CAGD,Computer Aided Geometric Design,Elsevier,https://dblp.org/db/journals/cagd/,45
计算机图形学与多媒体,期刊,B,3,CGF,Computer Graphics Forum,Wiley,https://dblp.org/db/journals/cgf/,45
计算机图形学与多媒体,期刊,B,4,CAD,Computer-Aided Design,Elsevier,https://dblp.org/db/journals/cad/,45
计算机图形学与多媒体,期刊,B,5,TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,IEEE,https://dblp.org/db/journals/tcsv/,45
计算机图形学与多媒体,期刊,B,6,JASA,The Journal of the Acoustical Society of America,AIP,https://scitation.aip.org/content/asa/journal/jasa,45
计算机图形学与多媒体,期刊,B,7,SIIMS,SIAM Journal on Imaging Sciences,SIAM,https://dblp.org/db/journals/siamis/,45
计算机图形学与多媒体,期刊,B,8,SPECOM,Speech Communication,Elsevier,https://dblp.org/db/journals/speech/,45
计算机图形学与多媒体,期刊,B,9,CVMJ,Computational Visual Media,清华大学出版社/IEEE（原 Tsinghua University/Springer）,https://dblp.org/db/journals/cvm/index.html,45
计算机图形学与多媒体,期刊,C,1,CGTA,Computational Geometry: Theory and Applications,Elsevier,https://dblp.org/db/journals/comgeo/,46
计算机图形学与多媒体,期刊,C,2,CAVW,Computer animation & virtual worlds,Wiley,https://dblp.org/db/journals/jvca/index.html,46
计算机图形学与多媒体,期刊,C,3,C&G,Computers & Graphics,Elsevier,https://dblp.org/db/journals/cg/,46
计算机图形学与多媒体,期刊,C,4,DCG,Discrete & Computational Geometry,Springer,https://dblp.org/db/journals/dcg/,46
计算机图形学与多媒体,期刊,C,5,SPL,IEEE Signal Processing Letters,IEEE,https://dblp.org/db/journals/spl/,46
计算机图形学与多媒体,期刊,C,6,IET-IPR,IET Image Processing,IET,https://dblp.org/db/journals/iet-ipr/,46
计算机图形学与多媒体,期刊,C,7,JVCIR,Journal of Visual Communication and Image Representation,Elsevier,https://dblp.org/db/journals/jvcir/,46
计算机图形学与多媒体,期刊,C,8,MS,Multimedia Systems,Springer,https://dblp.org/db/journals/mms/,46
计算机图形学与多媒体,期刊,C,9,MTA,Multimedia Tools and Applications,Springer,https://dblp.org/db/journals/mta/,46
计算机图形学与多媒体,期刊,C,10,SIGPRO,Signal Processing,Elsevier,https://dblp.org/db/journals/sigpro/,46
计算机图形学与多媒体,期刊,C,11,IMAGE,Signal Processing: Image Communication,Elsevier,https://dblp.org/db/journals/spic/,46
计算机图形学与多媒体,期刊,C,12,TVC,The Visual Computer,Springer,https://dblp.org/db/journals/vc/,46
计算机图形学与多媒体,期刊,C,13,VI,Visual Informatics,浙江大学出版社,https://dblp.org/db/journals/vi/index.html,46
计算机图形学与多媒体,期刊,C,14,VRIH,Virtual Reality & Intelligent Hardware,中国科技出版社/北京航空航天大学,https://dblp.org/db/journals/vrih/index.html,46
计算机图形学与多媒体,期刊,C,15,GMOD,Graphical Models,Elsevier,https://dblp.org/db/journals/cvgip/,46
计算机图形学与多媒体,会议,A,1,ACM MM,ACM International Conference on Multimedia,ACM,https://dblp.org/db/conf/mm/,47
计算机图形学与多媒体,会议,A,2,SIGGRAPH,ACM Special Interest Group on Computer Graphics,ACM,https://dblp.org/db/conf/siggraph/index.html,47
计算机图形学与多媒体,会议,A,3,VR,IEEE Conference on Virtual Reality and 3D User Interfaces（原 IEEE Virtual Reality）,IEEE,https://dblp.org/db/conf/vr/,47
计算机图形学与多媒体,会议,A,4,IEEE VIS,IEEE Visualization Conference,IEEE,https://dblp.org/db/conf/visualization/index.html,47
计算机图形学与多媒体,会议,B,1,ICMR,ACM SIGMM International Conference on Multimedia Retrieval,ACM,https://dblp.org/db/conf/mir/,48
计算机图形学与多媒体,会议,B,2,I3D,ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,ACM,https://dblp.org/db/conf/si3d/,48
计算机图形学与多媒体,会议,B,3,SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,ACM,https://dblp.org/db/conf/sca/index.html,48
计算机图形学与多媒体,会议,B,4,DCC,Data Compression Conference,IEEE,https://dblp.org/db/conf/dcc/,48
计算机图形学与多媒体,会议,B,5,Eurographics,Annual Conference of the European Association for Computer Graphics,Wiley/ Blackwell,https://dblp.org/db/conf/eurographics/,48
计算机图形学与多媒体,会议,B,6,EuroVis,Eurographics Conference on Visualization,ACM,https://dblp.org/db/conf/vissym/,48
计算机图形学与多媒体,会议,B,7,SGP,Eurographics Symposium on Geometry Processing,Wiley/ Blackwell,https://dblp.org/db/conf/sgp/,48
计算机图形学与多媒体,会议,B,8,EGSR,Eurographics Symposium on Rendering,Wiley/ Blackwell,https://dblp.org/db/conf/rt/,48
计算机图形学与多媒体,会议,B,9,ICASSP,"IEEE International Conference on Acoustics, Speech and Signal Processing",IEEE,https://dblp.org/db/conf/icassp/,48
计算机图形学与多媒体,会议,B,10,ICME,IEEE International Conference on Multimedia & Expo,IEEE,https://dblp.org/db/conf/icmcs/,48
计算机图形学与多媒体,会议,B,11,ISMAR,International Symposium on Mixed and Augmented Reality,IEEE/ ACM,https://dblp.org/db/conf/ismar/,48
计算机图形学与多媒体,会议,B,12,PG,Pacific Conference onComputer Graphics and Applications,Wiley/ Blackwell,https://dblp.org/db/conf/pg/index.html,48
计算机图形学与多媒体,会议,B,13,SPM,Symposium on Solid and Physical Modeling,SMA/ Elsevier,https://dblp.org/db/conf/sma/,48
计算机图形学与多媒体,会议,B,14,INTERSPEECH,Conference of the International Speech Communication Association,ISCA,https://dblp.org/db/conf/interspeech/index.html,48
计算机图形学与多媒体,会议,C,1,VRST,ACM Symposium on Virtual Reality Software and Technology,ACM,https://dblp.org/db/conf/vrst/,49
计算机图形学与多媒体,会议,C,2,CASAXR（原 CASA）,"International Conference on Computer Animation, Social Agents, and Extended Reality（原 International Conference on Computer Animation and Social Agents）",Wiley,https://dblp.org/db/conf/ca/,49
计算机图形学与多媒体,会议,C,3,CGI,Computer Graphics International,Springer,https://dblp.org/db/conf/cgi/,49
计算机图形学与多媒体,会议,C,4,GMP,Geometric Modeling and Processing,Elsevier,https://dblp.org/db/conf/gmp/,49
计算机图形学与多媒体,会议,C,5,PacificVis,IEEE Pacific Visualization Symposium,IEEE,https://dblp.org/db/conf/apvis/,49
计算机图形学与多媒体,会议,C,6,3DV,International Conference on 3D Vision,IEEE,https://dblp.org/db/conf/3dim/,49
计算机图形学与多媒体,会议,C,7,CAD/Graphics,International Conference on Computer-Aided Design and Computer Graphics Processing,IEEE,https://dblp.org/db/conf/cadgraphics/,49
计算机图形学与多媒体,会议,C,8,ICIP,IEEE International Conference on Image Processing,IEEE,https://dblp.org/db/conf/icip/,49
计算机图形学与多媒体,会议,C,9,MMM,International Conference on Multimedia Modeling,Springer,https://dblp.org/db/conf/mmm/index.html,49
计算机图形学与多媒体,会议,C,10,MMAsia,ACM Multimedia Asia,ACM,https://dblp.org/db/conf/mmasia/index.html,49
计算机图形学与多媒体,会议,C,11,SMI,Shape Modeling International,IEEE,https://dblp.org/db/conf/smi/,49
计算机图形学与多媒体,会议,C,12,CVM,Computational Visual Media,Tsinghua University,https://dblp.org/db/conf/cvm/index.html,49
计算机图形学与多媒体,会议,C,13,PRCV,Chinese Conference on Pattern Recognition and Computer Vision,Springer,https://dblp.org/db/conf/prcv/index.html,49
计算机图形学与多媒体,会议,C,14,ICIG,International Conference on Image and Graphics,Springer,https://dblp.org/db/conf/icig/index.html,50
计算机图形学与多媒体,会议,C,15,NCMMSC,National Conference on Man-Machine Speech Communication,CCF/中国中文信息学会,https://dblp.org/search?q=NCMMSC,50
计算机图形学与多媒体,会议,C,16,ASRU,Automatic Speech Recognition and Understanding Workshop,IEEE SLTC,https://dblp.org/db/conf/asru/index.html,50
计算机图形学与多媒体,会议,C,17,SLT,Spoken Language Technology,IEEE SLTC,https://dblp.org/db/conf/slt/index.html,50
人工智能,期刊,A,1,AI,Artificial Intelligence,Elsevier,https://dblp.org/db/journals/ai/,51
人工智能,期刊,A,2,TPAMI,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE,https://dblp.org/db/journals/pami/,51
人工智能,期刊,A,3,IJCV,International Journal of Computer Vision,Springer,https://dblp.org/db/journals/ijcv/,51
人工智能,期刊,A,4,JMLR,Journal of Machine Learning Research,MIT Press,https://dblp.org/db/journals/jmlr/,51
人工智能,期刊,B,1,TAP,ACM Transactions on Applied Perception,ACM,https://dblp.org/db/journals/tap/,52
人工智能,期刊,B,2,AAMAS,Autonomous Agents and Multi-Agent Systems,Springer,https://dblp.org/db/journals/aamas/,52
人工智能,期刊,B,3,,Computational Linguistics,MIT Press,https://dblp.org/db/journals/coling/,52
人工智能,期刊,B,4,CVIU,Computer Vision and Image Understanding,Elsevier,https://dblp.org/db/journals/cviu/,52
人工智能,期刊,B,5,DKE,Data & Knowledge Engineering,Elsevier,https://dblp.org/db/journals/dke/index.html,52
人工智能,期刊,B,6,,Evolutionary Computation,MIT Press,https://dblp.org/db/journals/ec/,52
人工智能,期刊,B,7,TAC,IEEE Transactions on Affective Computing,IEEE,https://dblp.org/db/journals/taffco/,52
人工智能,期刊,B,8,TASLP,"IEEE Transactions on Audio, Speech and Language Processing（原 IEEE/ACM Transactions on Audio, Speech and Language Processing）",IEEE,https://dblp.org/db/journals/taslp/,52
人工智能,期刊,B,9,,IEEE Transactions on Cybernetics,IEEE,https://dblp.org/db/journals/tcyb/,52
人工智能,期刊,B,10,TEC,IEEE Transactions on Evolutionary Computation,IEEE,https://dblp.org/db/journals/tec/,52
人工智能,期刊,B,11,TFS,IEEE Transactions on Fuzzy Systems,IEEE,https://dblp.org/db/journals/tfs/,52
人工智能,期刊,B,12,TNNLS,IEEE Transactions on Neural Networks and learning systems,IEEE,https://dblp.org/db/journals/tnn/,52
人工智能,期刊,B,13,IJAR,International Journal of Approximate Reasoning,Elsevier,https://dblp.org/db/journals/ijar/,52
人工智能,期刊,B,14,JAIR,Journal of Artificial Intelligence Research,AAAI,https://dblp.org/db/journals/jair/index.html,53
人工智能,期刊,B,15,,Journal of Automated Reasoning,Springer,https://dblp.org/db/journals/jar/,53
人工智能,期刊,B,16,JSLHR,"Journal of Speech, Language, and Hearing Research",American Speech- Language Hearing Association,https://jslhr.pubs.asha.org/,53
人工智能,期刊,B,17,,Machine Learning,Springer,https://dblp.org/db/journals/ml/,53
人工智能,期刊,B,18,,Neural Computation,MIT Press,https://dblp.org/db/journals/neco/,53
人工智能,期刊,B,19,,Neural Networks,Elsevier,https://dblp.org/db/journals/nn/,53
人工智能,期刊,B,20,PR,Pattern Recognition,Elsevier,https://dblp.org/db/conf/par/,53
人工智能,期刊,B,21,TACL,Transactions of the Association for Computational Linguistics,The Association for Computational Linguistics,https://dblp.org/db/journals/tacl/index.html,53
人工智能,期刊,C,1,TALLIP,ACM Transactions on Asian and Low-Resource Language Information Processing,ACM,https://dblp.org/db/journals/talip/,54
人工智能,期刊,C,2,,Applied Intelligence,Springer,https://dblp.org/db/journals/apin/,54
人工智能,期刊,C,3,AIM,Artificial Intelligence in Medicine,Elsevier,https://dblp.org/db/journals/artmed/,54
人工智能,期刊,C,4,,Artificial Life,MIT Press,https://dblp.org/db/journals/alife/,54
人工智能,期刊,C,5,,Computational Intelligence,Wiley,https://dblp.org/db/journals/ci/,54
人工智能,期刊,C,6,,Computer Speech & Language,Elsevier,https://dblp.org/db/journals/csl/,54
人工智能,期刊,C,7,,Connection Science,Taylor & Francis,https://dblp.org/db/journals/connection/,54
人工智能,期刊,C,8,DSS,Decision Support Systems,Elsevier,https://dblp.org/db/journals/dss/,54
人工智能,期刊,C,9,EAAI,Engineering Applications of Artificial Intelligence,Elsevier,https://dblp.org/db/journals/eaai/,54
人工智能,期刊,C,10,,Expert Systems,Blackwell/ Wiley,https://dblp.org/db/journals/es/,54
人工智能,期刊,C,11,ESWA,Expert Systems with Applications,Elsevier,https://dblp.org/db/journals/eswa/,54
人工智能,期刊,C,12,,Fuzzy Sets and Systems,Elsevier,https://dblp.org/db/journals/fss/,54
人工智能,期刊,C,13,TG,IEEE Transactions on Games,IEEE,https://dblp.org/db/journals/tciaig/,54
人工智能,期刊,C,14,IET-CVI,IET Computer Vision,IET,https://dblp.org/db/journals/iet-cvi/index.html,54
人工智能,期刊,C,15,,IET Signal Processing,IET,https://dblp.org/db/journals/iet-spr/index.html,54
人工智能,期刊,C,16,IVC,Image and Vision Computing,Elsevier,https://dblp.org/db/journals/ivc/,55
人工智能,期刊,C,17,IDA,Intelligent Data Analysis,IOS Press,https://dblp.org/db/journals/ida/,55
人工智能,期刊,C,18,IJCIA,International Journal of Computational Intelligence and Applications,World Scientific,https://dblp.org/db/journals/ijcia/,55
人工智能,期刊,C,19,IJIS,International Journal of Intelligent Systems,Wiley,https://dblp.org/db/journals/ijis/,55
人工智能,期刊,C,20,IJNS,International Journal of Neural Systems,World Scientific,https://dblp.org/db/journals/ijns/,55
人工智能,期刊,C,21,IJPRAI,International Journal of Pattern Recognition and Artificial Intelligence,World Scientific,https://dblp.org/db/journals/ijprai/,55
人工智能,期刊,C,22,IJUFKS,"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems",World Scientific,https://dblp.org/db/journals/ijufks/,55
人工智能,期刊,C,23,IJDAR,International Journal on Document Analysis and Recognition,Springer,https://dblp.org/db/journals/ijdar/,55
人工智能,期刊,C,24,JETAI,Journal of Experimental and Theoretical Artificial Intelligence,Taylor & Francis,https://dblp.org/db/journals/jetai/,55
人工智能,期刊,C,25,KBS,Knowledge-Based Systems,Elsevier,https://dblp.org/db/journals/kbs/,55
人工智能,期刊,C,26,,Machine Translation,Springer,https://dblp.org/db/journals/mt/,55
人工智能,期刊,C,27,,Machine Vision and Applications,Springer,https://dblp.org/db/journals/mva/,55
人工智能,期刊,C,28,,Natural Computing,Springer,https://dblp.org/db/journals/nc/,55
人工智能,期刊,C,29,NLE,Natural Language Engineering,Cambridge University Press,https://dblp.org/db/journals/nle/,55
人工智能,期刊,C,30,NCA,Neural Computing and Applications,Springer,https://dblp.org/db/journals/nca/,55
人工智能,期刊,C,31,NPL,Neural Processing Letters,Springer,https://dblp.org/db/journals/npl/,56
人工智能,期刊,C,32,,Neurocomputing,Elsevier,https://dblp.org/db/journals/ijon/,56
人工智能,期刊,C,33,PAA,Pattern Analysis and Applications,Springer,https://dblp.org/db/journals/paa/,56
人工智能,期刊,C,34,PRL,Pattern Recognition Letters,Elsevier,https://dblp.org/db/journals/prl/,56
人工智能,期刊,C,35,,Soft Computing,Springer,https://dblp.org/db/journals/soco/,56
人工智能,期刊,C,36,WI,Web Intelligence,IOS Press,https://dblp.org/db/journals/wias/,56
人工智能,期刊,C,37,TIIS,ACM Transactions on Interactive Intelligent Systems,ACM,https://dblp.org/db/journals/tiis/index.html,56
人工智能,期刊,C,38,TELO,ACM Transactions on Evolutionary Learning and Optimization,ACM,https://dblp.org/db/journals/telo/index.html,56
人工智能,期刊,C,39,JATS,ACM Journal on Autonomous Transportation Systems,ACM,,56
人工智能,会议,A,1,AAAI,AAAI Conference on Artificial Intelligence,AAAI,https://dblp.org/db/conf/aaai/,57
人工智能,会议,A,2,NeurIPS,Conference on Neural Information Processing Systems,MIT Press,https://dblp.org/db/conf/nips/,57
人工智能,会议,A,3,ACL,Annual Meeting of the Association for Computational Linguistics,ACL,https://dblp.org/db/conf/acl/,57
人工智能,会议,A,4,CVPR,IEEE/CVF Computer Vision and Pattern Recognition Conference,IEEE,https://dblp.org/db/conf/cvpr/,57
人工智能,会议,A,5,ICCV,International Conference on Computer Vision,IEEE,https://dblp.org/db/conf/iccv/,57
人工智能,会议,A,6,ICML,International Conference on Machine Learning,ACM,https://dblp.org/db/conf/icml/,57
人工智能,会议,A,7,ICLR,International Conference on Learning Representations,OpenReview,https://dblp.org/db/conf/iclr/index.html,57
人工智能,会议,B,1,COLT,Annual Conference on Computational Learning Theory,Springer,https://dblp.org/db/conf/colt/,58
人工智能,会议,B,2,EMNLP,Conference on Empirical Methods in Natural Language Processing,ACL,https://dblp.org/db/conf/emnlp/,58
人工智能,会议,B,3,ECAI,European Conference on Artificial Intelligence,IOS Press,https://dblp.org/db/conf/ecai/,58
人工智能,会议,B,4,ECCV,European Conference on Computer Vision,Springer,https://dblp.org/db/conf/eccv/,58
人工智能,会议,B,5,ICRA,IEEE International Conference on Robotics and Automation,IEEE,https://dblp.org/db/conf/icra/,58
人工智能,会议,B,6,ICAPS,International Conference on Automated Planning and Scheduling,AAAI,https://dblp.org/db/conf/icaps/index.html,58
人工智能,会议,B,7,ICCBR,International Conference on Case-Based Reasoning,Springer,https://dblp.org/db/conf/iccbr/,58
人工智能,会议,B,8,COLING,International Conference on Computational Linguistics,International Committee on Computational Linguistics,https://dblp.org/db/conf/coling/,58
人工智能,会议,B,9,KR,International Conference on Principles of Knowledge Representation and Reasoning,Morgan Kaufmann,https://dblp.org/db/conf/kr/,58
人工智能,会议,B,10,UAI,Conference on Uncertainty in Artificial Intelligence,AUAI,https://dblp.org/db/conf/uai/,58
人工智能,会议,B,11,AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,Springer,https://dblp.org/db/conf/ifaamas/index.html,58
人工智能,会议,B,12,PPSN,Parallel Problem Solving from Nature,Springer,https://dblp.org/db/conf/ppsn/,58
人工智能,会议,B,13,NAACL,North American Chapter of the Association for Computational Linguistics,Association for Computational Linguistics,https://dblp.org/db/conf/naacl/,58
人工智能,会议,B,14,IJCAI,International Joint Conference on Artificial Intelligence,Morgan Kaufmann,https://dblp.org/db/conf/ijcai/,58
人工智能,会议,C,1,AISTATS,International Conference on Artificial Intelligence and Statistics,JMLR,https://dblp.org/db/conf/aistats/,59
人工智能,会议,C,2,ACCV,Asian Conference on Computer Vision,Springer,https://dblp.org/db/conf/accv/,59
人工智能,会议,C,3,ACML,Asian Conference on Machine Learning,JMLR,https://dblp.org/db/conf/acml/,59
人工智能,会议,C,4,BMVC,British Machine Vision Conference,British Machine Vision Association,https://dblp.org/db/conf/bmvc/,59
人工智能,会议,C,5,NLPCC,CCF International Conference on Natural Language Processing and Chinese Computing,Springer,https://dblp.org/db/conf/nlpcc/,59
人工智能,会议,C,6,CoNLL,Conference on Computational Natural Language Learning,Association for Computational Linguistics,https://dblp.org/db/conf/conll,59
人工智能,会议,C,7,GECCO,Genetic and Evolutionary Computation Conference,ACM,https://dblp.org/db/conf/gecco/,59
人工智能,会议,C,8,ICTAI,IEEE International Conference on Tools with Artificial Intelligence,IEEE,https://dblp.org/db/conf/ictai/,59
人工智能,会议,C,9,IROS,IEEE\RSJ International Conference on Intelligent Robots and Systems,IEEE,https://dblp.org/db/conf/iros/,59
人工智能,会议,C,10,ALT,International Conference on Algorithmic Learning Theory,Springer,https://dblp.org/db/conf/alt/,59
人工智能,会议,C,11,ICANN,International Conference on Artificial Neural Networks,Springer,https://dblp.org/db/conf/icann/,59
人工智能,会议,C,12,FG,IEEE International Conference on Automatic Face and Gesture Recognition,IEEE,https://dblp.org/db/conf/fgr/,59
人工智能,会议,C,13,ICDAR,International Conference on Document Analysis and Recognition,IEEE,https://dblp.org/db/conf/icdar/,60
人工智能,会议,C,14,ILP,International Conference on Inductive Logic Programming,Springer,https://dblp.org/db/conf/ilp/,60
人工智能,会议,C,15,KSEM,"International conference on Knowledge Science, Engineering and Management",Springer,https://dblp.org/db/conf/ksem/,60
人工智能,会议,C,16,ICONIP,International Conference on Neural Information Processing,Springer,https://dblp.org/db/conf/iconip/,60
人工智能,会议,C,17,ICPR,International Conference on Pattern Recognition,IEEE,https://dblp.org/db/conf/icpr/,60
人工智能,会议,C,18,IJCB,International Joint Conference on Biometrics,IEEE,https://dblp.org/db/conf/icb/,60
人工智能,会议,C,19,IJCNN,International Joint Conference on Neural Networks,IEEE,https://dblp.org/db/conf/ijcnn/,60
人工智能,会议,C,20,PRICAI,Pacific Rim International Conference on Artificial Intelligence,Springer,https://dblp.org/db/conf/pricai/,60
人工智能,会议,C,21,IEEE CEC,Congress on Evolutionary Computation,IEEE,https://dblp.org/db/conf/cec/index.html,60
人工智能,会议,C,22,DAI,International Conference on Distributed Artificial Intelligence,ACM/ Springer,https://dblp.org/db/conf/dai2/index.html,60
人机交互与普适计算,期刊,A,1,TOCHI,ACM Transactions on Computer-Human Interaction,ACM,https://dblp.org/db/journals/tochi/,61
人机交互与普适计算,期刊,A,2,IJHCS,International Journal of Human-Computer Studies,Elsevier,https://dblp.org/db/journals/ijmms/,61
人机交互与普适计算,期刊,B,1,CSCW,Computer Supported Cooperative Work,Springer,https://dblp.org/db/journals/cscw/,62
人机交互与普适计算,期刊,B,2,HCI,Human-Computer Interaction,Taylor & Francis,https://dblp.org/db/journals/hhci/,62
人机交互与普适计算,期刊,B,3,,IEEE Transactions on Human-Machine Systems,IEEE,https://dblp.org/db/journals/thms/,62
人机交互与普适计算,期刊,B,4,IWC,Interacting with Computers,Oxford University Press,https://dblp.org/db/journals/iwc/,62
人机交互与普适计算,期刊,B,5,IJHCI,International Journal of Human-Computer Interaction,Taylor & Francis,https://dblp.org/db/journals/ijhci/,62
人机交互与普适计算,期刊,B,6,UMUAI,User Modeling and User-Adapted Interaction,Springer,https://dblp.org/db/journals/umuai/,62
人机交互与普适计算,期刊,B,7,TSMC,"IEEE Transactions on Systems, Man,and Cybernetics: Systems",IEEE,https://dblp.org/db/journals/tsmc/tsmc12.html,62
人机交互与普适计算,期刊,B,8,CCF TPCI,CCF Transactions on Pervasive Computing and Interaction,CCF/ Springer,https://dblp.org/db/journals/ccftpci/index.html,62
人机交互与普适计算,期刊,C,1,BIT,Behaviour & Information Technology,Taylor & Francis,https://dblp.org/db/journals/behaviourIT/,63
人机交互与普适计算,期刊,C,2,PUC,Personal and Ubiquitous Computing,Springer,https://dblp.org/db/journals/puc/,63
人机交互与普适计算,期刊,C,3,PMC,Pervasive and Mobile Computing,Elsevier,https://dblp.org/db/journals/percom/,63
人机交互与普适计算,期刊,C,4,PACMHCI,Proceedings of the ACM on Human-Computer Interaction,ACM,https://dblp.org/db/journals/pacmhci/index.html,63
人机交互与普适计算,期刊,C,5,THRI,ACM Transactions on Human-Robot Interaction,ACM,https://dblp.org/db/journals/thri/index.html,63
人机交互与普适计算,会议,A,1,CSCW,ACM Conference On Computer-Supported Cooperative Work And Social Computing,ACM,https://dblp.org/db/conf/cscw,64
人机交互与普适计算,会议,A,2,CHI,ACM Conference on Human Factors in Computing Systems,ACM,https://dblp.org/db/conf/chi,64
人机交互与普适计算,会议,A,3,UbiComp,ACM international joint conference on Pervasive and Ubiquitous Computing,ACM,https://dblp.org/db/conf/huc/,64
人机交互与普适计算,会议,A,4,UIST,ACM Symposium on User Interface Software and Technology,ACM,https://dblp.org/db/conf/uist/,64
人机交互与普适计算,会议,B,1,GROUP,ACM International Conference on Supporting Group Work,ACM,https://dblp.org/db/conf/group/,65
人机交互与普适计算,会议,B,2,IUI,ACM International Conference on Intelligent User Interfaces,ACM,https://dblp.org/db/conf/iui/,65
人机交互与普适计算,会议,B,3,ISS,ACM International Conference on Interactive Surfaces and Spaces,ACM,https://dblp.org/db/conf/tabletop/,65
人机交互与普适计算,会议,B,4,ECSCW,European Conference on Computer Supported Cooperative Work,Springer,https://dblp.org/db/conf/ecscw/,65
人机交互与普适计算,会议,B,5,PERCOM,IEEE International Conference on Pervasive Computing and Communications,IEEE,https://dblp.org/db/conf/percom/,65
人机交互与普适计算,会议,B,6,MobileHCI,ACM International Conference on Mobile Human- Computer Interaction,ACM,https://dblp.org/db/conf/mhci/,65
人机交互与普适计算,会议,B,7,ICWSM,The International AAAI Conference on Web and Social Media,AAAI,https://dblp.org/db/conf/icwsm/index.html,65
人机交互与普适计算,会议,C,1,DIS,ACM SIGCHI Conference on Designing Interactive Systems,ACM,https://dblp.org/db/conf/ACMdis,66
人机交互与普适计算,会议,C,2,ICMI,ACM International Conference on Multimodal Interaction,ACM,https://dblp.org/db/conf/icmi/,66
人机交互与普适计算,会议,C,3,ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,ACM,https://dblp.org/db/conf/assets,66
人机交互与普适计算,会议,C,4,GI,Graphics Interface,ACM,https://dblp.org/db/conf/graphicsinterface/,66
人机交互与普适计算,会议,C,5,UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,IEEE,https://dblp.org/db/conf/uic/,66
人机交互与普适计算,会议,C,6,,IEEE World Haptics Conference,IEEE,https://dblp.org/db/conf/haptics/,66
人机交互与普适计算,会议,C,7,INTERACT,International Conference on Human- Computer Interaction of International Federation for Information Processing,IFIP,https://dblp.org/db/conf/interact/,66
人机交互与普适计算,会议,C,8,IDC,ACM Interaction Design and Children,ACM,https://dblp.org/db/conf/acmidc/,66
人机交互与普适计算,会议,C,9,CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",Springer,https://dblp.org/db/conf/colcom/,66
人机交互与普适计算,会议,C,10,CSCWD,International Conference on Computer Supported Cooperative Work in Design,Springer,https://dblp.org/db/conf/cscwd/,66
人机交互与普适计算,会议,C,11,CoopIS,International Conference on Cooperative Information Systems,Springer,https://dblp.org/db/conf/coopis/,66
人机交互与普适计算,会议,C,12,MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",Springer,https://dblp.org/db/conf/mobiquitous/,66
